Feature,t_statistic,p_value,Significant
Feature_0,7.702836629799081,1.6745578099518643e-12,True
Feature_1,8.069329095761393,2.1037674647444357e-13,True
Feature_2,6.805879384723911,2.251449707668743e-10,True
Feature_3,6.8509442408691426,1.7718854886226375e-10,True
Feature_4,7.283972437246039,1.7080071914775585e-11,True
Feature_5,10.69238065062041,3.449246143542196e-20,True
Feature_6,20.20728240318197,1.1744645925260618e-44,True
Feature_7,6.675647400307748,4.478992125862875e-10,True
Feature_8,8.417670479371916,2.835707158883256e-14,True
Feature_9,9.673086996539736,1.685366674569849e-17,True
Feature_10,13.655364898412126,4.217321123354838e-28,True
Feature_11,9.283755872610994,1.7367071882252697e-16,True
Feature_12,7.6526546963706785,2.2180465093750326e-12,True
Feature_13,7.00062084789147,7.953578276865422e-11,True
Feature_14,5.295873066975564,4.142268096703104e-07,True
Feature_15,12.55168239001869,3.7107851214160113e-25,True
Feature_16,8.264125483237802,6.884548877718841e-14,True
Feature_17,8.953129456115283,1.2354637454093702e-15,True
Feature_18,9.55004650372922,3.5307410396907795e-17,True
Feature_19,9.805468367268848,7.588837086855838e-18,True
Feature_20,8.090912297052329,1.8597389875087371e-13,True
Feature_21,44.53541892948888,2.265449285674607e-88,True
