feature,total_patches,changed,proportion,binom_p_value,Significant
Feature_0,12,0,0.0,1.0,False
Feature_1,12,0,0.0,1.0,False
Feature_10,12,0,0.0,1.0,False
Feature_11,12,0,0.0,1.0,False
Feature_12,12,0,0.0,1.0,False
Feature_13,12,0,0.0,1.0,False
Feature_14,12,0,0.0,1.0,False
Feature_15,12,0,0.0,1.0,False
Feature_16,12,0,0.0,1.0,False
Feature_17,12,0,0.0,1.0,False
Feature_18,12,0,0.0,1.0,False
Feature_19,12,0,0.0,1.0,False
Feature_2,12,0,0.0,1.0,False
Feature_20,12,0,0.0,1.0,False
Feature_21,12,0,0.0,1.0,False
Feature_3,12,0,0.0,1.0,False
Feature_4,12,0,0.0,1.0,False
Feature_5,12,0,0.0,1.0,False
Feature_6,12,0,0.0,1.0,False
Feature_7,12,5,0.4166666666666667,7.469708281709166e-08,True
Feature_8,12,0,0.0,1.0,False
Feature_9,12,0,0.0,1.0,False
