instance,baseline,patched
0,0.6952834944139497,0.5262378384881288
1,0.6133961039624434,0.4357866405834111
2,0.6956251159165449,0.526639951511346
3,0.7176551848576254,0.534849127417887
4,0.5857507086106798,0.37249770166797064
5,0.5783946801871839,0.3654571113734622
6,0.7117627434517704,0.5276526140222307
7,0.6958949102060948,0.5269576737500385
8,0.717269662716253,0.5343759458849282
9,0.7181492384066612,0.5354559994608679
10,0.5786583068052928,0.3657078702251004
11,0.613124299553248,0.4355048813643366
